lcot,lines_code,num_capabilities,num_imports,num_inputs,num_interfaces,num_keys,num_node_templates,num_node_types,num_properties,num_relationship_templates,num_relationship_types,num_requirements,num_suspicious_comments,num_tokens,text_entropy,url
1.0,51.0,0.0,3.0,0.0,1.0,51.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,106.0,6.14,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/storage/elasticsearch/ubuntu/types.yml
1.0,41.0,3.0,1.0,0.0,1.0,42.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,75.0,5.92,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/docker-engine-type/docker-engine.yml
1.0,41.0,1.0,2.0,0.0,1.0,44.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,91.0,5.9,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/lang/java/jdk/linux/types.yml
0.0,10.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.91,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/cloud/amazon/cli/pub/types.yml
1.0,222.0,0.0,3.0,0.0,3.0,260.0,0.0,1.0,13.0,0.0,1.0,1.0,0.0,696.0,6.66,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/cloudify/hostpool/awsfeeder/types.yml
1.0,43.0,2.0,1.0,0.0,1.0,45.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,80.0,5.88,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/php/php-type.yml
2.0,231.0,1.0,3.0,0.0,4.0,268.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,525.0,5.49,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/sandbox/mock_legacy/ansible/types.yml
1.0,65.0,1.0,3.0,0.0,1.0,66.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,153.0,6.4,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/www/apache/linux_ans/types.yml
1.0,40.0,2.0,2.0,0.0,1.0,41.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,75.0,5.92,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/lang/php/debian_sh/types.yml
3.0,397.0,5.0,5.0,0.0,0.0,347.0,3.0,0.0,28.0,0.0,0.0,3.0,0.0,604.0,6.43,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/cloudify/hostpool/topologies/hostpool_feeder/types.yml
7.0,95.0,4.0,4.0,0.0,0.0,91.0,7.0,0.0,18.0,0.0,0.0,9.0,0.0,151.0,5.45,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/sandbox/services/dummy/topologies/remote_and_local/types.yml
1.0,27.0,0.0,3.0,0.0,1.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0,5.56,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/a4c/config/service/types.yml
2.0,84.0,2.0,1.0,0.0,1.0,90.0,0.0,2.0,9.0,0.0,0.0,1.0,0.0,224.0,6.85,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/mysql/mysql-type.yml
2.0,53.0,1.0,1.0,0.0,0.0,52.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,109.0,6.0,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/cloudify/manager/pub/types.yml
1.0,81.0,0.0,4.0,0.0,4.0,89.0,0.0,1.0,2.0,0.0,3.0,3.0,0.0,205.0,6.68,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/wordpress/wordpress-type.yml
2.0,38.0,3.0,2.0,0.0,0.0,36.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,70.0,5.74,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/demo-service-operations/topology/demo-managed-service-topology/demo-managed-service-topology.yaml
2.0,71.0,1.0,3.0,0.0,0.0,71.0,0.0,2.0,6.0,0.0,1.0,1.0,0.0,143.0,6.03,https://raw.githubusercontent.com/alien4cloud/samples/18c4119eb6f6f6785d4a9203c6407aa452146d96/org/alien4cloud/automation/a4c/config/pub/types.yml
