id,url,smelly,lines_code
135,https://raw.githubusercontent.com/oasis-open/tosca-community-contributions/master/examples/basic-template/scripts/sampletargetnode-create.sh,,1.0
756,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/ntp/ansible/playbooks/stop.yaml,,17.0
365,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/logstash/linux/bash/relationships/kafka/configure-kafka-output.sh,,
109,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/alien4cloud/config/backupRestoreS3/scripts/restore.sh,,
327,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/vault/vault_sh/scripts/policy/write_policy.sh,,
752,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/kubernetes/linux/ansible/playbooks/master/start.yaml,,16.0
173,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/cloudera/linux/bash/scripts/clouderaagent_to_server.sh,,
265,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/flink/linux/bash/scripts/flink_jm_configure.sh,,
553,https://raw.githubusercontent.com/alien4cloud/samples/master/apache-load-balancer/scripts/add_web_app_to_load_balancer.sh,,
799,https://raw.githubusercontent.com/radon-h2020/demo-tosca-blueprint-aws-lambda/master/playbooks/bucket/undeploy.yml,,9.0
501,https://raw.githubusercontent.com/alien4cloud/samples/master/demo-repository/scripts/implementation/assert.sh,,22.0
93,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/consul/consul_sh/scripts/consul/join_consul_servers.sh,,
624,https://raw.githubusercontent.com/lexis-project/application-templates/master/weather-climate/components/wps/playbooks/download_geog.yaml,,98.0
519,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/terraform/openstack/scripts/tf_compute_configure.sh,,
649,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/kubernetes/linux/ansible/playbooks/apps/dashboard/start.yaml,,42.0
771,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/traefik/ansible-linux/playbooks/remove_route_target.yaml,,10.0
24,https://raw.githubusercontent.com/di-unipi-socc/TosKer/master/data/examples/sockshop-app/sockshop/scripts/user/install.sh,,5.0
658,https://raw.githubusercontent.com/radon-h2020/demo-lambda-thumbgen-tosca-datapipeline/master/single-node-example/nodetypes/radon/nodes/nifi/nifipipeline/files/stop.yml,,11.0
178,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/squid3/linux_sh/scripts/configure_squid3.sh,,
598,https://raw.githubusercontent.com/blainechai/TOSCA-chef/master/resources/tosca/wordpress_install.sh,,1.0
777,https://raw.githubusercontent.com/laurentganne/tosca-samples/master/visualization/components/xrv/playbooks/create.yaml,,34.0
23,https://raw.githubusercontent.com/alien4cloud/mesos-tosca-blueprints/master/mesos-types/scripts/service-discovery/configure_mesosdnsConnectsToMaster.sh,,
106,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/storage/elasticsearch/ansible/scripts/elasticsearch/install_elasticsearch.sh,,
104,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/flink/linux/bash/scripts/flink_stop.sh,,5.0
225,https://raw.githubusercontent.com/vmware-archive/tosca-blueprints/master/regression-blueprints/scripts/install_mongo.sh,,
